x-spline, y-spline, z-spline, radius
1602.000,0.000,0.000,28.146
1604.000,0.000,0.000,28.172
1606.000,0.000,0.000,28.197
1608.000,0.000,0.000,28.222
1610.000,0.000,0.000,28.247
1612.000,0.000,0.000,28.273
1614.000,0.000,0.000,28.298
1616.000,0.000,0.000,28.323
1618.000,0.000,0.000,28.348
1620.000,0.000,0.000,28.374
1622.000,0.000,0.000,28.399
1624.000,0.000,0.000,28.424
1626.000,0.000,0.000,28.449
1628.000,0.000,0.000,28.475
1630.000,0.000,0.000,29.000
1632.000,0.000,0.000,29.036
1634.000,0.000,0.000,29.073
1636.000,0.000,0.000,29.109
1638.000,0.000,0.000,29.145
1640.000,0.000,0.000,29.182
1642.000,0.000,0.000,29.218
1644.000,0.000,0.000,29.255
1646.000,0.000,0.000,29.291
1648.000,0.000,0.000,29.327
1650.000,0.000,0.000,29.364
1652.000,0.000,0.000,29.400
1654.000,0.000,0.000,29.436
1656.000,0.000,0.000,29.473
1658.000,0.000,0.000,29.509
1660.000,0.000,0.000,29.545
1662.000,0.000,0.000,29.582
1664.000,0.000,0.000,29.618
1666.000,0.000,0.000,29.655
1668.000,0.000,0.000,29.691
1670.000,0.000,0.000,29.727
1672.000,0.000,0.000,29.764
1674.000,0.000,0.000,29.800
1676.000,0.000,0.000,29.836
1678.000,0.000,0.000,29.873
1680.000,0.000,0.000,29.909
1682.000,0.000,0.000,29.945
1684.000,0.000,0.000,29.982
1686.000,0.000,0.000,30.018
1688.000,0.000,0.000,30.055
